acno,sex,brth_dt,age,exec_dt,exec_amt,cur_bal,ovrd_dvcd,,CB,SP,R,PI,NPML,PIML,,연체금액
0037201901102569,F,19760424, 46 ,20190101," 25,000,000 "," 9,684,729 ",0,,5,5,5,2,1,1,,0
0037201901114919,M,19610205, 61 ,20211004," 20,000,000 "," 1,911,878 ",0,,5,1,3,1,2,2,,0
0037201901172631,M,19650714, 57 ,20190123," 25,000,000 "," 14,145,389 ",0,,4,2,4,2,2,3,,0
0037202001038750,F,19560524, 66 ,20190709," 5,000,000 "," 16,927,935 ",0,,5,3,1,4,5,1,,0
0037201901092321,F,19690709, 53 ,20200516," 30,000,000 "," 4,752,273 ",0,,3,5,4,2,3,2,,0
0037202001035643,M,19640717, 58 ,20200504," 25,000,000 "," 9,173,390 ",0,,5,3,3,2,4,3,,0
0037201901114774,M,19930310, 29 ,20191130," 45,000,000 "," 8,845,353 ",0,,3,4,1,3,5,5,,0
0037201901398129,M,19801216, 42 ,20200207," 25,000,000 "," 23,734,012 ",0,,2,3,5,2,2,5,,0
0037201901156461,F,19580916, 64 ,20210613," 3,000,000 "," 12,826,319 ",1,,10,10,9,10,7,6,,12826319
0037202001002230,F,19701017, 52 ,20191123," 40,000,000 "," 16,476,433 ",0,,1,2,1,3,3,2,,0
0037201901118447,F,19930328, 29 ,20210423," 45,000,000 "," 9,440,208 ",0,,5,1,3,3,3,5,,0
0037201901222882,F,19760830, 46 ,20190724," 50,000,000 "," 17,135,666 ",0,,3,4,4,5,5,5,,0
0037202001086084,M,19900809, 32 ,20210613," 3,000,000 "," 27,530,594 ",1,,9,7,7,10,9,9,,27530594
0037201901192128,F,19890204, 33 ,20200205," 40,000,000 "," 28,283,449 ",0,,1,2,3,2,5,3,,0
0037202001027864,M,19890105, 33 ,20201021," 20,000,000 "," 22,499,485 ",0,,4,3,2,1,5,3,,0
0037201901174261,M,19660328, 56 ,20200415," 10,000,000 "," 9,976,103 ",0,,2,4,2,5,5,5,,0
0037201901165761,M,19740417, 48 ,20200430," 10,000,000 "," 11,452,746 ",0,,5,5,4,3,2,4,,0
0037201901102806,F,19830113, 39 ,20210619," 3,000,000 "," 12,714,121 ",0,,1,3,3,2,3,1,,0
0037202001197619,M,19780413, 44 ,20190910," 5,000,000 "," 7,555,163 ",0,,1,4,4,2,4,4,,0
0037201901186376,M,19920911, 30 ,20190616," 10,000,000 "," 10,366,669 ",1,,9,6,10,6,10,6,,10366669
0037201901398912,M,19681202, 54 ,20200918," 1,500,000 "," 5,602,040 ",0,,2,3,3,4,1,2,,0
0037202001015320,M,19660411, 56 ,20210119," 10,000,000 "," 28,205,276 ",0,,1,2,1,5,5,2,,0
0037201901352233,M,19940906, 28 ,20211220," 3,000,000 "," 21,891,041 ",0,,5,1,1,3,3,3,,0
0037202001019383,M,19650822, 57 ,20200328," 3,000,000 "," 11,411,520 ",0,,2,5,2,4,4,3,,0
0037201901301182,M,19881216, 34 ,20190207," 3,000,000 "," 3,148,815 ",0,,1,2,5,3,5,5,,0
0037201901322949,M,19700122, 52 ,20201116," 45,000,000 "," 26,290,335 ",0,,2,1,4,1,1,4,,0
0037201901163642,F,19950415, 27 ,20190729," 20,000,000 "," 20,776,408 ",0,,3,5,1,2,1,5,,0
0037201901131151,M,19721220, 50 ,20190212," 10,000,000 "," 26,967,223 ",0,,2,3,2,2,5,2,,0
0037202001131072,F,19760213, 46 ,20200811," 5,000,000 "," 15,048,485 ",0,,3,1,3,4,3,5,,0
0037202001016802,M,19640121, 58 ,20200214," 50,000,000 "," 14,623,213 ",0,,3,1,5,4,5,5,,0
0037201901223102,F,19580517, 64 ,20200416," 40,000,000 "," 20,432,116 ",0,,2,4,2,1,3,4,,0
0037202001033293,M,19790610, 43 ,20190615," 1,500,000 "," 10,608,526 ",0,,1,4,2,1,3,3,,0
0037202001035743,M,19690413, 53 ,20190131," 10,000,000 "," 7,825,066 ",1,,8,9,10,6,9,7,,7825066
0037202001111843,F,19860502, 36 ,20210914," 45,000,000 "," 1,104,576 ",0,,5,2,5,1,1,2,,0
0037202001261778,M,19690825, 53 ,20200921," 1,500,000 "," 5,402,596 ",0,,4,5,5,5,2,4,,0
0037201901133005,M,19801129, 42 ,20191105," 20,000,000 "," 8,074,433 ",1,,10,10,10,10,6,7,,8074433
0037201901313836,M,19860831, 36 ,20210411," 30,000,000 "," 27,295,203 ",0,,2,4,2,2,5,1,,0
0037202001137790,M,19800407, 42 ,20190922," 25,000,000 "," 22,005,794 ",0,,1,5,1,2,1,1,,0
0037201901294151,F,19951115, 27 ,20201120," 1,500,000 "," 28,236,383 ",0,,1,4,5,1,4,3,,0
0037202001110711,M,19880814, 34 ,20200602," 5,000,000 "," 22,271,673 ",0,,1,3,4,3,3,2,,0
0037201901092653,M,19720816, 50 ,20201227," 50,000,000 "," 5,161,883 ",0,,2,5,3,4,5,4,,0
0037201901089740,F,19730201, 49 ,20200424," 10,000,000 "," 13,184,578 ",0,,5,3,1,1,5,2,,0
0037201901420204,F,19880508, 34 ,20211007," 10,000,000 "," 12,253,802 ",0,,2,4,5,3,2,5,,0
0037202001085667,M,19921230, 30 ,20201006," 30,000,000 "," 17,872,535 ",0,,2,2,3,4,2,2,,0
0037202001235698,F,19800823, 42 ,20191109," 1,500,000 "," 4,216,055 ",0,,5,5,1,5,1,3,,0
0037202001308946,F,19710208, 51 ,20190314," 3,000,000 "," 11,462,945 ",0,,4,2,4,2,4,3,,0
0037201901095132,M,19780911, 44 ,20200227," 20,000,000 "," 2,153,548 ",0,,2,4,2,2,2,2,,0
0037202001201385,F,19771203, 45 ,20211030," 10,000,000 "," 22,472,298 ",0,,1,3,3,4,5,1,,0
0037201901390186,M,19890204, 33 ,20200710," 1,500,000 "," 20,524,716 ",0,,2,4,3,1,4,1,,0
0037201901353577,F,19740909, 48 ,20190429," 1,500,000 "," 15,505,262 ",0,,5,4,5,5,4,5,,0
0037201901433513,M,19760828, 46 ,20201015," 10,000,000 "," 1,355,831 ",0,,4,5,3,2,4,5,,0
0037201901400732,M,19631121, 59 ,20190314," 40,000,000 "," 27,471,819 ",0,,4,2,5,1,5,3,,0
0037201901149766,F,19891118, 33 ,20200303," 50,000,000 "," 10,943,037 ",0,,3,2,5,3,5,5,,0
0037201901091723,M,19820527, 40 ,20210101," 20,000,000 "," 8,087,500 ",0,,3,3,1,4,1,1,,0
0037202001094963,F,19860626, 36 ,20200910," 10,000,000 "," 22,688,119 ",0,,3,5,2,4,1,2,,0
0037201901193541,M,19591201, 63 ,20211207," 10,000,000 "," 28,202,510 ",0,,3,3,2,2,1,1,,0
0037202001215328,M,19830811, 39 ,20210909," 25,000,000 "," 14,922,895 ",0,,1,3,2,4,4,5,,0
0037202001190232,F,19650324, 57 ,20211127," 50,000,000 "," 17,824,366 ",0,,1,4,2,4,5,1,,0
0037202001070851,F,19781103, 44 ,20200721," 50,000,000 "," 25,900,696 ",0,,1,2,2,4,2,4,,0
0037201901329399,M,19691003, 53 ,20201115," 50,000,000 "," 13,886,289 ",0,,1,2,2,1,2,3,,0
0037201901219618,M,19870901, 35 ,20210309," 25,000,000 "," 19,662,451 ",0,,1,5,2,2,5,4,,0
0037201901469573,F,19881002, 34 ,20191128," 30,000,000 "," 28,314,394 ",0,,5,2,4,2,2,3,,0
